common_name,scientific_name,region,file_type,habitat_distribution,entry_number,subcategory
Himalayan Bulbul,Pycnonotus leucogenys,Africa,Geographic,Vagrant,736,Family Pycnonotidae - Bulbuls
Red-vented Bulbul,Pycnonotus cafer,Africa,Geographic,Introduced,737,Family Pycnonotidae - Bulbuls
Red-whiskered Bulbul,Pycnonotus jocosus,Africa,Geographic,Introduced,738,Family Pycnonotidae - Bulbuls
Sooty-headed Bulbul,Pycnonotus aurigaster,Africa,Geographic,Vagrant,739,Family Pycnonotidae - Bulbuls
Yellow-throated Bulbul,Ixos flavicollis,Africa,Geographic,Vagrant,740,Family Pycnonotidae - Bulbuls
Madagascar Bulbul,Hypsipetes madagascariensis,Africa,Geographic,Madagascar,741,Family Pycnonotidae - Bulbuls
Seychelles Bulbul,Hypsipetes crassirostris,Africa,Geographic,Seychelles,742,Family Pycnonotidae - Bulbuls
Reunion Bulbul,Hypsipetes borbonicus,Africa,Geographic,Reunion,743,Family Pycnonotidae - Bulbuls
Mauritius Bulbul,Hypsipetes olivaceus,Africa,Geographic,Mauritius,744,Family Pycnonotidae - Bulbuls
Long-billed Greenbul,Bernieria madagascariensis,Africa,Geographic,Madagascar,745,Family Pycnonotidae - Bulbuls
White-throated Oxylabes,Bernieria zosterops,Africa,Geographic,Madagascar,746,Family Pycnonotidae - Bulbuls
Gray-crowned Greenbul,Bernieria cinereiceps,Africa,Geographic,Madagascar,747,Family Pycnonotidae - Bulbuls
Appert's Greenbul,Bernieria apperti,Africa,Geographic,Madagascar,748,Family Pycnonotidae - Bulbuls
Long-billed Greenbul,Phyllastrephus madagascariensis,Africa,Geographic,Alternative classification,749,Family Pycnonotidae - Bulbuls
White-throated Oxylabes,Phyllastrephus zosterops,Africa,Geographic,Alternative classification,750,Family Pycnonotidae - Bulbuls
Gray-crowned Greenbul,Phyllastrephus cinereiceps,Africa,Geographic,Alternative classification,751,Family Pycnonotidae - Bulbuls
Appert's Greenbul,Phyllastrephus apperti,Africa,Geographic,Alternative classification,752,Family Pycnonotidae - Bulbuls
Leaf-love,Phyllastrephus scandens,Africa,Geographic,West/Central Africa,753,Family Pycnonotidae - Bulbuls
Baumann's Greenbul,Phyllastrephus baumanni,Africa,Geographic,West Africa,754,Family Pycnonotidae - Bulbuls
White-throated Greenbul,Phyllastrephus albigularis,Africa,Geographic,East/Central Africa,755,Family Pycnonotidae - Bulbuls
Yellow-streaked Greenbul,Phyllastrephus flavostriatus,Africa,Geographic,East/Central Africa,756,Family Pycnonotidae - Bulbuls
Tiny Greenbul,Phyllastrephus debilis,Africa,Geographic,West/Central Africa,757,Family Pycnonotidae - Bulbuls
Icterine Greenbul,Phyllastrephus icterinus,Africa,Geographic,East/Central Africa,758,Family Pycnonotidae - Bulbuls
Cabanis's Greenbul,Phyllastrephus cabanisi,Africa,Geographic,East/Central Africa,759,Family Pycnonotidae - Bulbuls
Placid Greenbul,Phyllastrephus placidus,Africa,Geographic,East/Central Africa,760,Family Pycnonotidae - Bulbuls
Fischer's Greenbul,Phyllastrephus fischeri,Africa,Geographic,East Africa,761,Family Pycnonotidae - Bulbuls
Pale-olive Greenbul,Phyllastrephus fulviventris,Africa,Geographic,West/Central Africa,762,Family Pycnonotidae - Bulbuls
Gray-olive Greenbul,Phyllastrephus hypochloris,Africa,Geographic,West/Central Africa,763,Family Pycnonotidae - Bulbuls
Gray-headed Greenbul,Phyllastrephus poensis,Africa,Geographic,West/Central Africa,764,Family Pycnonotidae - Bulbuls
Gray-throated Greenbul,Phyllastrephus cerviniventris,Africa,Geographic,West/Central Africa,765,Family Pycnonotidae - Bulbuls
Sassi's Greenbul,Phyllastrephus lorenzi,Africa,Geographic,Central Africa,766,Family Pycnonotidae - Bulbuls
Terrestrial Brownbul,Phyllastrephus terrestris,Africa,Geographic,East/Central Africa,767,Family Pycnonotidae - Bulbuls
Northern Brownbul,Phyllastrephus strepitans,Africa,Geographic,East/Central Africa,768,Family Pycnonotidae - Bulbuls
Red-tailed Bristlebill,Bleda syndactylus,Africa,Geographic,West/Central Africa,769,Family Pycnonotidae - Bulbuls
Gray-headed Bristlebill,Bleda canicapillus,Africa,Geographic,West/Central Africa,770,Family Pycnonotidae - Bulbuls
Green-tailed Bristlebill,Bleda notatus,Africa,Geographic,West/Central Africa,771,Family Pycnonotidae - Bulbuls
Green-tailed Bristlebill,Bleda eximius,Africa,Geographic,Alternative classification,772,Family Pycnonotidae - Bulbuls
Western Bearded-Greenbul,Criniger barbatus,Africa,Geographic,West Africa,773,Family Pycnonotidae - Bulbuls
Red-tailed Greenbul,Criniger calurus,Africa,Geographic,West/Central Africa,774,Family Pycnonotidae - Bulbuls
Eastern Bearded-Greenbul,Criniger chloronotus,Africa,Geographic,East Africa,775,Family Pycnonotidae - Bulbuls
White-bearded Greenbul,Criniger ndussumensis,Africa,Geographic,Central Africa,776,Family Pycnonotidae - Bulbuls
Yellow-bearded Greenbul,Criniger olivaceus,Africa,Geographic,West/Central Africa,777,Family Pycnonotidae - Bulbuls
Golden Greenbul,Calyptocichla serina,Africa,Geographic,West/Central Africa,778,Family Pycnonotidae - Bulbuls
Honeyguide Greenbul,Baeopogon indicator,Africa,Geographic,West/Central Africa,779,Family Pycnonotidae - Bulbuls
Spotted Greenbul,Ixonotus guttatus,Africa,Geographic,West/Central Africa,780,Family Pycnonotidae - Bulbuls
Simple Greenbul,Chlorocichla simplex,Africa,Geographic,East/Central Africa,781,Family Pycnonotidae - Bulbuls
Yellow-throated Greenbul,Chlorocichla flavicollis,Africa,Geographic,East/Central Africa,782,Family Pycnonotidae - Bulbuls
Yellow-necked Greenbul,Chlorocichla falkensteini,Africa,Geographic,Central Africa,783,Family Pycnonotidae - Bulbuls
Yellow-bellied Greenbul,Chlorocichla flaviventris,Africa,Geographic,East/Central Africa,784,Family Pycnonotidae - Bulbuls
Prigogine's Greenbul,Chlorocichla prigoginei,Africa,Geographic,Central Africa,785,Family Pycnonotidae - Bulbuls
Cameroon Greenbul,Eurillas curvirostris,Africa,Geographic,West/Central Africa,786,Family Pycnonotidae - Bulbuls
Ansorge's Greenbul,Eurillas ansorgei,Africa,Geographic,Central Africa,787,Family Pycnonotidae - Bulbuls
Little Greenbul,Eurillas gracilis,Africa,Geographic,West/Central Africa,788,Family Pycnonotidae - Bulbuls
Little Gray Greenbul,Eurillas virens,Africa,Geographic,West/Central Africa,789,Family Pycnonotidae - Bulbuls
Yellow-whiskered Greenbul,Eurillas latirostris,Africa,Geographic,West/Central Africa,790,Family Pycnonotidae - Bulbuls
Sand Martin,Riparia riparia,Africa,Geographic,Widespread,791,Family Hirundinidae - Swallows & Martins
Brown-throated Martin,Riparia paludicola,Africa,Geographic,Sub-Saharan Africa,792,Family Hirundinidae - Swallows & Martins
Banded Martin,Riparia cincta,Africa,Geographic,Sub-Saharan Africa,793,Family Hirundinidae - Swallows & Martins
Congo Martin,Riparia congica,Africa,Geographic,Central Africa,794,Family Hirundinidae - Swallows & Martins
Gray-rumped Swallow,Pseudhirundo griseopyga,Africa,Geographic,Sub-Saharan Africa,795,Family Hirundinidae - Swallows & Martins
Barn Swallow,Hirundo rustica,Africa,Geographic,Widespread,796,Family Hirundinidae - Swallows & Martins
Red-rumped Swallow,Hirundo lucida,Africa,Geographic,Sub-Saharan Africa,797,Family Hirundinidae - Swallows & Martins
Red-rumped Swallow,Hirundo daurica,Africa,Geographic,"North Africa, migrant",798,Family Hirundinidae - Swallows & Martins
Hill Swallow,Hirundo domicola,Africa,Geographic,Vagrant,799,Family Hirundinidae - Swallows & Martins
Pacific Swallow,Hirundo tahitica,Africa,Geographic,Vagrant,800,Family Hirundinidae - Swallows & Martins
Welcome Swallow,Hirundo neoxena,Africa,Geographic,Vagrant,801,Family Hirundinidae - Swallows & Martins
Wire-tailed Swallow,Hirundo smithii,Africa,Geographic,Sub-Saharan Africa,802,Family Hirundinidae - Swallows & Martins
White-throated Blue Swallow,Hirundo nigrita,Africa,Geographic,East/Central Africa,803,Family Hirundinidae - Swallows & Martins
Blue Swallow,Hirundo atrocaerulea,Africa,Geographic,Eastern/Southern Africa,804,Family Hirundinidae - Swallows & Martins
Tree Martin,Hirundo nigricans,Africa,Geographic,Vagrant,805,Family Hirundinidae - Swallows & Martins
White-throated Swallow,Hirundo albigularis,Africa,Geographic,Southern Africa,806,Family Hirundinidae - Swallows & Martins
White-tailed Swallow,Hirundo megaensis,Africa,Geographic,Ethiopia,807,Family Hirundinidae - Swallows & Martins
Pied-winged Swallow,Hirundo leucosoma,Africa,Geographic,Southern Africa,808,Family Hirundinidae - Swallows & Martins
Pearl-breasted Swallow,Hirundo dimidiata,Africa,Geographic,Southern Africa,809,Family Hirundinidae - Swallows & Martins
Red-capped Swallow,Hirundo cucullata,Africa,Geographic,Sub-Saharan Africa,810,Family Hirundinidae - Swallows & Martins
Lesser Striped Swallow,Hirundo abyssinica,Africa,Geographic,Sub-Saharan Africa,811,Family Hirundinidae - Swallows & Martins
Cliff Swallow,Hirundo pyrrhonota,Africa,Geographic,Vagrant,812,Family Hirundinidae - Swallows & Martins
South African Cliff Swallow,Hirundo spilodera,Africa,Geographic,Southern Africa,813,Family Hirundinidae - Swallows & Martins
Preuss's Swallow,Hirundo preussi,Africa,Geographic,West/Central Africa,814,Family Hirundinidae - Swallows & Martins
Streak-throated Swallow,Hirundo fluvicola,Africa,Geographic,Vagrant,815,Family Hirundinidae - Swallows & Martins
Angola Swallow,Hirundo angolensis,Africa,Geographic,Southern Africa,816,Family Hirundinidae - Swallows & Martins
Mosque Swallow,Hirundo senegalensis,Africa,Geographic,Sub-Saharan Africa,817,Family Hirundinidae - Swallows & Martins
Cliff Swallow,Petrochelidon pyrrhonota,Africa,Geographic,Alternative classification,818,Family Hirundinidae - Swallows & Martins
South African Cliff Swallow,Petrochelidon spilodera,Africa,Geographic,Alternative classification,819,Family Hirundinidae - Swallows & Martins
Preuss's Swallow,Petrochelidon preussi,Africa,Geographic,Alternative classification,820,Family Hirundinidae - Swallows & Martins
Streak-throated Swallow,Petrochelidon fluvicola,Africa,Geographic,Alternative classification,821,Family Hirundinidae - Swallows & Martins
Rock Martin,Ptyonoprogne fuligula,Africa,Geographic,Sub-Saharan Africa,822,Family Hirundinidae - Swallows & Martins
Pale Crag-Martin,Ptyonoprogne obsoleta,Africa,Geographic,North/Northeast Africa,823,Family Hirundinidae - Swallows & Martins
Eurasian Crag-Martin,Ptyonoprogne rupestris,Africa,Geographic,North Africa,824,Family Hirundinidae - Swallows & Martins
Northern House-Martin,Delichon urbicum,Africa,Geographic,"North Africa, migrant",825,Family Hirundinidae - Swallows & Martins
Asian House-Martin,Delichon dasypus,Africa,Geographic,Vagrant,826,Family Hirundinidae - Swallows & Martins
Willow Warbler,Phylloscopus trochilus,Africa,Geographic,"Widespread, migrant",827,Family Phylloscopidae - Leaf Warblers
Common Chiffchaff,Phylloscopus collybita,Africa,Geographic,"North Africa, migrant",828,Family Phylloscopidae - Leaf Warblers
Iberian Chiffchaff,Phylloscopus ibericus,Africa,Geographic,"North Africa, migrant",829,Family Phylloscopidae - Leaf Warblers
Canary Islands Chiffchaff,Phylloscopus canariensis,Africa,Geographic,Canary Islands,830,Family Phylloscopidae - Leaf Warblers
Western Bonelli's Warbler,Phylloscopus bonelli,Africa,Geographic,"North Africa, migrant",831,Family Phylloscopidae - Leaf Warblers
Eastern Bonelli's Warbler,Phylloscopus orientalis,Africa,Geographic,"North Africa, migrant",832,Family Phylloscopidae - Leaf Warblers
Wood Warbler,Phylloscopus sibilatrix,Africa,Geographic,"North Africa, migrant",833,Family Phylloscopidae - Leaf Warblers
Dusky Warbler,Phylloscopus fuscatus,Africa,Geographic,Vagrant,834,Family Phylloscopidae - Leaf Warblers
Radde's Warbler,Phylloscopus schwarzi,Africa,Geographic,Vagrant,835,Family Phylloscopidae - Leaf Warblers
Pallas's Warbler,Phylloscopus proregulus,Africa,Geographic,Vagrant,836,Family Phylloscopidae - Leaf Warblers
Yellow-browed Warbler,Phylloscopus inornatus,Africa,Geographic,Vagrant,837,Family Phylloscopidae - Leaf Warblers
Hume's Warbler,Phylloscopus humei,Africa,Geographic,Vagrant,838,Family Phylloscopidae - Leaf Warblers
Arctic Warbler,Phylloscopus borealis,Africa,Geographic,Vagrant,839,Family Phylloscopidae - Leaf Warblers
Yellow-throated Woodland-Warbler,Phylloscopus ruficapilla,Africa,Geographic,East/Central Africa,840,Family Phylloscopidae - Leaf Warblers
Uganda Woodland-Warbler,Phylloscopus laetus,Africa,Geographic,East/Central Africa,841,Family Phylloscopidae - Leaf Warblers
Budongo Woodland-Warbler,Phylloscopus budongoensis,Africa,Geographic,East/Central Africa,842,Family Phylloscopidae - Leaf Warblers
Western Olivaceous Warbler,Iduna opaca,Africa,Geographic,"North Africa, migrant",843,Family Acrocephalidae - Reed Warblers & Allies
Eastern Olivaceous Warbler,Iduna pallida,Africa,Geographic,"North Africa, migrant",844,Family Acrocephalidae - Reed Warblers & Allies
Sykes's Warbler,Iduna rama,Africa,Geographic,Vagrant,845,Family Acrocephalidae - Reed Warblers & Allies
Booted Warbler,Iduna caligata,Africa,Geographic,Vagrant,846,Family Acrocephalidae - Reed Warblers & Allies
Thick-billed Warbler,Iduna aedon,Africa,Geographic,Vagrant,847,Family Acrocephalidae - Reed Warblers & Allies
Icterine Warbler,Hippolais icterina,Africa,Geographic,"North Africa, migrant",848,Family Acrocephalidae - Reed Warblers & Allies
Melodious Warbler,Hippolais polyglotta,Africa,Geographic,"North Africa, migrant",849,Family Acrocephalidae - Reed Warblers & Allies
Olive-tree Warbler,Hippolais olivetorum,Africa,Geographic,"North Africa, migrant",850,Family Acrocephalidae - Reed Warblers & Allies
Upcher's Warbler,Hippolais languida,Africa,Geographic,"North Africa, migrant",851,Family Acrocephalidae - Reed Warblers & Allies
Moustached Warbler,Acrocephalus melanopogon,Africa,Geographic,North Africa,852,Family Acrocephalidae - Reed Warblers & Allies
Aquatic Warbler,Acrocephalus paludicola,Africa,Geographic,"North Africa, migrant",853,Family Acrocephalidae - Reed Warblers & Allies
Sedge Warbler,Acrocephalus schoenobaenus,Africa,Geographic,"Widespread, migrant",854,Family Acrocephalidae - Reed Warblers & Allies
Marsh Warbler,Acrocephalus palustris,Africa,Geographic,"Widespread, migrant",855,Family Acrocephalidae - Reed Warblers & Allies
Eurasian Reed Warbler,Acrocephalus scirpaceus,Africa,Geographic,"Widespread, migrant",856,Family Acrocephalidae - Reed Warblers & Allies
African Reed Warbler,Acrocephalus baeticatus,Africa,Geographic,Sub-Saharan Africa,857,Family Acrocephalidae - Reed Warblers & Allies
Great Reed Warbler,Acrocephalus arundinaceus,Africa,Geographic,"North Africa, migrant",858,Family Acrocephalidae - Reed Warblers & Allies
Clamorous Reed Warbler,Acrocephalus stentoreus,Africa,Geographic,North Africa,859,Family Acrocephalidae - Reed Warblers & Allies
Basra Reed Warbler,Acrocephalus griseldis,Africa,Geographic,Vagrant,860,Family Acrocephalidae - Reed Warblers & Allies
Lesser Swamp Warbler,Acrocephalus gracilirostris,Africa,Geographic,Sub-Saharan Africa,861,Family Acrocephalidae - Reed Warblers & Allies
Greater Swamp Warbler,Acrocephalus rufescens,Africa,Geographic,Sub-Saharan Africa,862,Family Acrocephalidae - Reed Warblers & Allies
Madagascar Swamp Warbler,Acrocephalus newtoni,Africa,Geographic,Madagascar,863,Family Acrocephalidae - Reed Warblers & Allies
Seychelles Warbler,Acrocephalus sechellensis,Africa,Geographic,Seychelles,864,Family Acrocephalidae - Reed Warblers & Allies
Rodrigues Warbler,Acrocephalus rodericanus,Africa,Geographic,Rodrigues,865,Family Acrocephalidae - Reed Warblers & Allies
Common Grasshopper Warbler,Locustella naevia,Africa,Geographic,"North Africa, migrant",866,Family Locustellidae - Grassbirds & Allies
River Warbler,Locustella fluviatilis,Africa,Geographic,"North Africa, migrant",867,Family Locustellidae - Grassbirds & Allies
Savi's Warbler,Locustella luscinioides,Africa,Geographic,"North Africa, migrant",868,Family Locustellidae - Grassbirds & Allies
Little Rush Warbler,Bradypterus baboecala,Africa,Geographic,Sub-Saharan Africa,869,Family Locustellidae - Grassbirds & Allies
Grauer's Warbler,Bradypterus graueri,Africa,Geographic,Central Africa,870,Family Locustellidae - Grassbirds & Allies
White-winged Warbler,Bradypterus carpalis,Africa,Geographic,East Africa,871,Family Locustellidae - Grassbirds & Allies
Cinnamon Bracken Warbler,Bradypterus cinnamomeus,Africa,Geographic,East/Central Africa,872,Family Locustellidae - Grassbirds & Allies
Knysna Warbler,Bradypterus sylvaticus,Africa,Geographic,Southern Africa,873,Family Locustellidae - Grassbirds & Allies
Victorin's Warbler,Bradypterus victorini,Africa,Geographic,Southern Africa,874,Family Locustellidae - Grassbirds & Allies
Bangwa Forest Warbler,Bradypterus bangwaensis,Africa,Geographic,West/Central Africa,875,Family Locustellidae - Grassbirds & Allies
Bamboo Warbler,Bradypterus alfredi,Africa,Geographic,East Africa,876,Family Locustellidae - Grassbirds & Allies
Madagascar Brush Warbler,Nesillas typica,Africa,Geographic,Madagascar,877,Family Locustellidae - Grassbirds & Allies
Aldabra Brush Warbler,Nesillas aldabranus,Africa,Geographic,Aldabra,878,Family Locustellidae - Grassbirds & Allies
Anjouan Brush Warbler,Nesillas longicaudatus,Africa,Geographic,Comoros,879,Family Locustellidae - Grassbirds & Allies
Moheli Brush Warbler,Nesillas mariae,Africa,Geographic,Comoros,880,Family Locustellidae - Grassbirds & Allies
Thamnornis,Thamnornis chloropetoides,Africa,Geographic,Madagascar,881,Family Locustellidae - Grassbirds & Allies
Bristled Grassbird,Chaetornis striata,Africa,Geographic,Vagrant,882,Family Locustellidae - Grassbirds & Allies
Ceylon Bush Warbler,Elaphrornis palliseri,Africa,Geographic,Vagrant,883,Family Locustellidae - Grassbirds & Allies
Long-billed Bernieria,Bernieria madagascariensis,Africa,Geographic,Madagascar,884,Family Bernieridae - Malagasy Warblers
White-throated Oxylabes,Bernieria zosterops,Africa,Geographic,Madagascar,885,Family Bernieridae - Malagasy Warblers
Gray-crowned Tetraka,Bernieria cinereiceps,Africa,Geographic,Madagascar,886,Family Bernieridae - Malagasy Warblers
Appert's Tetraka,Bernieria apperti,Africa,Geographic,Madagascar,887,Family Bernieridae - Malagasy Warblers
Yellow-browed Oxylabes,Crossleyia xanthophrys,Africa,Geographic,Madagascar,888,Family Bernieridae - Malagasy Warblers
White-throated Oxylabes,Oxylabes madagascariensis,Africa,Geographic,Alternative classification,889,Family Bernieridae - Malagasy Warblers
Wedge-tailed Jery,Hartertula flavoviridis,Africa,Geographic,Madagascar,890,Family Bernieridae - Malagasy Warblers
Common Jery,Neomixis tenella,Africa,Geographic,Madagascar,891,Family Bernieridae - Malagasy Warblers
Green Jery,Neomixis viridis,Africa,Geographic,Madagascar,892,Family Bernieridae - Malagasy Warblers
Stripe-throated Jery,Neomixis striatigula,Africa,Geographic,Madagascar,893,Family Bernieridae - Malagasy Warblers
Cryptic Warbler,Cryptosylvicola randrianasoloi,Africa,Geographic,Madagascar,894,Family Bernieridae - Malagasy Warblers
Rand's Warbler,Randia pseudozosterops,Africa,Geographic,Madagascar,895,Family Bernieridae - Malagasy Warblers
Red-faced Cisticola,Cisticola erythrops,Africa,Geographic,Sub-Saharan Africa,896,Family Cisticolidae - Cisticolas & Allies
Singing Cisticola,Cisticola cantans,Africa,Geographic,Sub-Saharan Africa,897,Family Cisticolidae - Cisticolas & Allies
Whistling Cisticola,Cisticola lateralis,Africa,Geographic,East/Central Africa,898,Family Cisticolidae - Cisticolas & Allies
Chattering Cisticola,Cisticola anonymus,Africa,Geographic,East/Central Africa,899,Family Cisticolidae - Cisticolas & Allies
Bubbling Cisticola,Cisticola bulliens,Africa,Geographic,East/Central Africa,900,Family Cisticolidae - Cisticolas & Allies
Chubb's Cisticola,Cisticola chubbi,Africa,Geographic,East/Central Africa,901,Family Cisticolidae - Cisticolas & Allies
Red-pate Cisticola,Cisticola subruficapilla,Africa,Geographic,East/Central Africa,902,Family Cisticolidae - Cisticolas & Allies
Red-headed Cisticola,Cisticola ruficeps,Africa,Geographic,East Africa,903,Family Cisticolidae - Cisticolas & Allies
Luapula Cisticola,Cisticola luapula,Africa,Geographic,Central Africa,904,Family Cisticolidae - Cisticolas & Allies
Rock-loving Cisticola,Cisticola distinctus,Africa,Geographic,East/Central Africa,905,Family Cisticolidae - Cisticolas & Allies
Wailing Cisticola,Cisticola lais,Africa,Geographic,Sub-Saharan Africa,906,Family Cisticolidae - Cisticolas & Allies
Black-necked Cisticola,Cisticola eximius,Africa,Geographic,East Africa,907,Family Cisticolidae - Cisticolas & Allies
Hunter's Cisticola,Cisticola hunter,Africa,Geographic,East Africa,908,Family Cisticolidae - Cisticolas & Allies
Carruthers's Cisticola,Cisticola carruthersi,Africa,Geographic,East/Central Africa,909,Family Cisticolidae - Cisticolas & Allies
Black-lored Cisticola,Cisticola nigriloris,Africa,Geographic,Central Africa,910,Family Cisticolidae - Cisticolas & Allies
Lazy Cisticola,Cisticola aberrans,Africa,Geographic,East Africa,911,Family Cisticolidae - Cisticolas & Allies
Ashy Cisticola,Cisticola cinereolus,Africa,Geographic,East Africa,912,Family Cisticolidae - Cisticolas & Allies
Stout Cisticola,Cisticola robustus,Africa,Geographic,East/Central Africa,913,Family Cisticolidae - Cisticolas & Allies
Croaking Cisticola,Cisticola natalensis,Africa,Geographic,Eastern/Southern Africa,914,Family Cisticolidae - Cisticolas & Allies
Piping Cisticola,Cisticola fulvicapilla,Africa,Geographic,Southern Africa,915,Family Cisticolidae - Cisticolas & Allies
Cloud Cisticola,Cisticola textrix,Africa,Geographic,Eastern/Southern Africa,916,Family Cisticolidae - Cisticolas & Allies
Tana River Cisticola,Cisticola angusticauda,Africa,Geographic,East Africa,917,Family Cisticolidae - Cisticolas & Allies
Tana River Cisticola,Cisticola restrictus,Africa,Geographic,Alternative classification,918,Family Cisticolidae - Cisticolas & Allies
Black-tailed Cisticola,Cisticola melanurus,Africa,Geographic,Sub-Saharan Africa,919,Family Cisticolidae - Cisticolas & Allies
Black-lored Cisticola,Cisticola nigriloris,Africa,Geographic,Central Africa,920,Family Cisticolidae - Cisticolas & Allies
Zitting Cisticola,Cisticola juncidis,Africa,Geographic,Widespread,921,Family Cisticolidae - Cisticolas & Allies
Socotra Cisticola,Cisticola haesitatus,Africa,Geographic,Socotra,922,Family Cisticolidae - Cisticolas & Allies
Rattling Cisticola,Cisticola chiniana,Africa,Geographic,Sub-Saharan Africa,923,Family Cisticolidae - Cisticolas & Allies
Siffling Cisticola,Cisticola brachypterus,Africa,Geographic,West/Central Africa,924,Family Cisticolidae - Cisticolas & Allies
Rufous Cisticola,Cisticola rufus,Africa,Geographic,West Africa,925,Family Cisticolidae - Cisticolas & Allies
Foxy Cisticola,Cisticola troglodytes,Africa,Geographic,West/Central Africa,926,Family Cisticolidae - Cisticolas & Allies
Tiny Cisticola,Cisticola nanus,Africa,Geographic,West/Central Africa,927,Family Cisticolidae - Cisticolas & Allies
Desert Cisticola,Cisticola aridulus,Africa,Geographic,Northeast Africa,928,Family Cisticolidae - Cisticolas & Allies
Boran Cisticola,Cisticola bodessa,Africa,Geographic,East Africa,929,Family Cisticolidae - Cisticolas & Allies
Rusty-flanked Cisticola,Cisticola galactotes,Africa,Geographic,West/Central Africa,930,Family Cisticolidae - Cisticolas & Allies
Guinea Cisticola,Cisticola guinea,Africa,Geographic,West Africa,931,Family Cisticolidae - Cisticolas & Allies
Dorst's Cisticola,Cisticola dorsti,Africa,Geographic,West Africa,932,Family Cisticolidae - Cisticolas & Allies
Wing-snapping Cisticola,Cisticola ayresii,Africa,Geographic,Eastern/Southern Africa,933,Family Cisticolidae - Cisticolas & Allies
Cloud-scraping Cisticola,Cisticola incanus,Africa,Geographic,East Africa,934,Family Cisticolidae - Cisticolas & Allies
Cinnamon-breasted Warbler,Cisticola cinnamomeus,Africa,Geographic,East/Central Africa,935,Family Cisticolidae - Cisticolas & Allies
Hunter's Cisticola,Cisticola hunteri,Africa,Geographic,East Africa,936,Family Cisticolidae - Cisticolas & Allies
Red-headed Cisticola,Cisticola ruficeps,Africa,Geographic,East Africa,937,Family Cisticolidae - Cisticolas & Allies
Tawny-flanked Prinia,Prinia subflava,Africa,Geographic,Sub-Saharan Africa,939,Family Cisticolidae - Cisticolas & Allies
Pale Prinia,Prinia somalica,Africa,Geographic,East Africa,940,Family Cisticolidae - Cisticolas & Allies
White-chinned Prinia,Prinia leucopogon,Africa,Geographic,East Africa,941,Family Cisticolidae - Cisticolas & Allies
Bair's Prinia,Prinia bairdii,Africa,Geographic,Central Africa,942,Family Cisticolidae - Cisticolas & Allies
Roberts's Prinia,Prinia robertsi,Africa,Geographic,Southern Africa,943,Family Cisticolidae - Cisticolas & Allies
Yellow-bellied Prinia,Prinia hypoxantha,Africa,Geographic,Vagrant,944,Family Cisticolidae - Cisticolas & Allies
Karoo Prinia,Prinia maculosa,Africa,Geographic,Southern Africa,945,Family Cisticolidae - Cisticolas & Allies
Black-chested Prinia,Prinia flavicans,Africa,Geographic,Southern Africa,946,Family Cisticolidae - Cisticolas & Allies
Drakensberg Prinia,Prinia melanops,Africa,Geographic,Southern Africa,947,Family Cisticolidae - Cisticolas & Allies
Green Longtail,Urolais epichlorus,Africa,Geographic,West/Central Africa,948,Family Cisticolidae - Cisticolas & Allies
Sierra Leone Prinia,Schistolais leontica,Africa,Geographic,West Africa,949,Family Cisticolidae - Cisticolas & Allies
White-chinned Prinia,Schistolais leucopogon,Africa,Geographic,Alternative classification,950,Family Cisticolidae - Cisticolas & Allies
Rufous-eared Warbler,Malcorus pectoralis,Africa,Geographic,Southern Africa,951,Family Cisticolidae - Cisticolas & Allies
Roberts's Warbler,Oreophilais robertsi,Africa,Geographic,Southern Africa,952,Family Cisticolidae - Cisticolas & Allies
Red-winged Warbler,Drymocichla incana,Africa,Geographic,East Africa,953,Family Cisticolidae - Cisticolas & Allies
Red-winged Warbler,Heliolais erythroptera,Africa,Geographic,Alternative classification,954,Family Cisticolidae - Cisticolas & Allies
Yellow-breasted Apalis,Apalis flavida,Africa,Geographic,Sub-Saharan Africa,955,Family Cisticolidae - Cisticolas & Allies
Green-headed Apalis,Apalis viridiceps,Africa,Geographic,East Africa,956,Family Cisticolidae - Cisticolas & Allies
Gray Apalis,Apalis cinerea,Africa,Geographic,East Africa,957,Family Cisticolidae - Cisticolas & Allies
Black-throated Apalis,Apalis jacksoni,Africa,Geographic,East Africa,958,Family Cisticolidae - Cisticolas & Allies
Kung Apalis,Apalis argentea,Africa,Geographic,Angola,959,Family Cisticolidae - Cisticolas & Allies
Bamenda Apalis,Apalis bamendae,Africa,Geographic,West/Central Africa,960,Family Cisticolidae - Cisticolas & Allies
Black-capped Apalis,Apalis nigriceps,Africa,Geographic,East/Central Africa,961,Family Cisticolidae - Cisticolas & Allies
Rudd's Apalis,Apalis ruddi,Africa,Geographic,East Africa,962,Family Cisticolidae - Cisticolas & Allies
Black-headed Apalis,Apalis melanocephala,Africa,Geographic,East Africa,963,Family Cisticolidae - Cisticolas & Allies
Chirinda Apalis,Apalis chirindensis,Africa,Geographic,Eastern/Southern Africa,964,Family Cisticolidae - Cisticolas & Allies
Gosling's Apalis,Apalis lynesi,Africa,Geographic,Angola,965,Family Cisticolidae - Cisticolas & Allies
Gosling's Apalis,Apalis goslingi,Africa,Geographic,Alternative classification,966,Family Cisticolidae - Cisticolas & Allies
Bar-throated Apalis,Apalis thoracica,Africa,Geographic,Eastern/Southern Africa,967,Family Cisticolidae - Cisticolas & Allies
Yellow-throated Apalis,Apalis flavigularis,Africa,Geographic,Southern Africa,968,Family Cisticolidae - Cisticolas & Allies
